id,white,citizen,female,education,age,agebreak,income,married,children,attend,bornagain,pid7,pid3,ideology,treatname,treatment,voter,voted,voter3,voted3,votesurer,votesured,repvote,demvote,american,connected,natid,natidc,natidbin,rr1,rr2,rr3,rr4,rrscale,weights,weightstrim
2167,1,1,0,6,35,4,11,1,0,1,0,2,1,2,Control,1,2,6,1,3,0,1,0,1,4,4,8,3,2,3,2,3,3,11,0.371831129,0.508046799
2186,1,1,1,4,54,7,8,1,0,1,1,2,1,3,Control,1,2,6,1,3,0,1,0,1,4,4,8,3,2,3,2,3,2,10,0.229861948,0.366077618
2366,1,1,1,3,59,8,5,0,0,4,1,2,1,3,Control,1,2,6,1,3,0,1,0,1,4,4,8,3,2,3,4,3,2,12,1.319799834,1.456015504
2502,1,1,1,5,31,3,7,0,1,1,0,3,1,1,Control,1,2,6,1,3,0,1,0,1,3,5,8,3,2,2,1,1,1,5,0.224231518,0.360447189
2608,1,1,0,5,46,6,8,1,0,1,1,3,1,2,Control,1,2,6,1,3,0,1,0,1,4,4,8,3,2,4,1,4,3,12,0.084358299,0.220573969
2710,1,1,1,6,26,2,8,0,0,2,0,1,1,1,Control,1,2,6,1,3,0,1,0,1,4,4,8,3,2,3,1,2,2,8,0.261502333,0.397718004
2759,1,1,1,4,43,5,8,0,0,1,0,1,1,2,Control,1,2,6,1,3,0,1,0,1,4,4,8,3,2,2,2,2,2,8,0.348140549,0.484356219
2831,1,1,1,5,29,2,7,0,0,1,0,2,1,2,Control,1,2,6,1,3,0,1,0,1,4,4,8,3,2,2,2,3,2,9,0.160197536,0.296413206
2845,1,1,1,5,35,4,8,1,1,1,0,1,1,2,Control,1,2,6,1,3,0,1,0,1,3,5,8,3,2,2,1,1,1,5,0.092968589,0.229184259
3146,1,1,0,2,51,7,4,1,1,1,1,4,2,4,Control,1,2,6,1,3,0,1,0,1,5,3,8,3,2,3,2,3,3,11,2.266649124,2.402864794
3157,1,1,1,6,64,9,7,0,0,1,0,1,1,2,Control,1,2,6,1,3,0,1,0,1,4,4,8,3,2,2,1,1,2,6,1.467833146,1.604048816
346,1,1,0,4,29,2,11,1,0,3,0,6,3,2,Control,1,2,6,1,3,0,1,0,1,5,4,9,4,2,3,4,5,2,14,0.151705542,0.287921212
373,1,1,1,5,29,2,9,0,0,1,0,2,1,3,Control,1,2,6,1,3,0,1,0,1,5,4,9,4,2,3,2,2,2,9,0.267002387,0.403218057
419,1,1,1,5,40,5,11,1,1,1,0,4,2,4,Control,1,2,6,1,3,0,1,0,1,5,5,10,4,2,3,3,3,3,12,2.667499931,2.803715601
615,1,1,1,3,59,8,6,1,0,1,0,4,2,4,Control,1,2,6,1,3,0,1,0,1,5,4,9,4,2,4,4,4,2,14,1.541301554,1.677517224
671,1,1,0,5,36,4,11,1,1,1,0,1,1,2,Control,1,2,6,1,3,0,1,0,1,5,4,9,4,2,2,1,2,1,6,0.636080158,0.772295829
1258,1,1,0,5,24,1,7,0,0,5,1,5,3,5,Control,1,2,6,1,3,0,1,0,1,5,4,9,4,2,4,4,4,4,16,0.935524627,1.071740297
1761,1,1,1,5,28,2,8,1,1,5,1,1,1,6,Control,1,2,6,1,3,0,1,0,1,5,5,10,4,2,4,2,1,4,11,1.120862868,1.257078538
1924,1,1,1,6,36,4,11,1,1,5,0,1,1,2,Control,1,2,6,1,3,0,1,0,1,5,5,10,4,2,1,1,1,1,4,4.634171622,3.958968505
1975,1,1,1,5,33,3,8,1,1,1,1,2,1,2,Control,1,2,6,1,3,0,1,0,1,5,5,10,4,2,5,4,4,4,17,0.213463024,0.349678694
2162,1,1,1,5,39,4,11,1,1,4,0,2,1,3,Control,1,2,6,1,3,0,1,0,1,5,5,10,4,2,1,1,3,1,6,1.144449081,1.280664751
2461,1,1,1,2,63,9,5,0,0,3,1,1,1,2,Control,1,2,6,1,3,0,1,0,1,5,4,9,4,2,3,2,4,2,11,5.671578804,3.958968505
2501,1,1,0,3,25,2,5,1,1,1,0,1,1,1,Control,1,2,6,1,3,0,1,0,1,5,5,10,4,2,4,1,1,3,9,0.696921687,0.833137358
2550,1,1,1,6,53,7,10,1,0,1,0,2,1,3,Control,1,2,6,1,3,0,1,0,1,5,5,10,4,2,4,2,4,3,13,1.659016225,1.795231895
2896,1,1,1,5,59,8,9,1,0,1,0,1,1,2,Control,1,2,6,1,3,0,1,0,1,5,5,10,4,2,5,3,3,3,14,1.49915865,1.63537432
3043,1,1,1,3,70,11,4,1,0,2,0,2,1,3,Control,1,2,6,1,3,0,1,0,1,5,5,10,4,2,4,,4,3,,12.32532737,3.958968505
3174,1,1,1,6,55,8,8,0,0,1,0,2,1,3,Control,1,2,6,1,3,0,1,0,1,5,4,9,4,2,2,2,2,2,8,0.968221721,1.104437391
467,1,1,1,3,36,4,4,1,0,2,0,4,2,2,Control,1,3,5,1,3,0,1,0,1,2,3,5,1,1,3,2,4,3,12,0.040655877,0.041488538
959,1,1,1,5,29,2,9,1,1,2,0,1,1,2,Control,1,3,5,1,3,0,1,0,1,3,3,6,1,1,3,1,2,1,7,0.162477981,0.298693651
960,1,1,1,5,24,1,5,1,0,1,0,3,1,1,Control,1,3,5,1,3,0,1,0,1,3,1,4,1,1,2,1,1,1,5,0.301942613,0.438158283
1317,1,1,0,3,29,2,1,0,0,1,0,6,3,5,Control,1,3,5,1,3,0,1,0,1,3,3,6,1,1,3,5,3,2,13,0.181696972,0.317912642
1437,1,1,1,2,40,5,9,0,1,1,1,3,1,2,Control,1,3,5,1,3,0,1,0,1,2,3,5,1,1,1,1,2,1,5,0.591963198,0.728178869
1463,1,1,1,4,22,1,5,0,0,1,0,3,1,3,Control,1,3,5,1,3,0,1,0,1,2,3,5,1,1,4,4,2,3,13,0.641652648,0.777868319
1807,1,1,1,6,36,4,7,0,0,1,0,2,1,2,Control,1,3,5,1,3,0,1,0,1,3,2,5,1,1,3,1,2,1,7,0.115001793,0.251217463
2009,1,1,0,5,42,5,8,1,1,1,0,1,1,2,Control,1,3,5,1,3,0,1,0,1,3,2,5,1,1,2,1,2,1,6,0.065442803,0.201658473
2047,1,1,0,5,38,4,7,1,1,2,0,5,3,4,Control,1,3,5,1,3,0,1,0,1,4,2,6,1,1,4,4,4,3,15,0.213826612,0.350042282
2106,1,1,0,4,69,10,6,1,1,5,1,5,3,5,Control,1,3,5,1,3,0,1,0,1,3,3,6,1,1,4,4,4,2,14,0.822163761,0.958379431
2234,1,1,0,4,51,7,7,1,0,1,0,4,2,5,Control,1,3,5,1,3,0,1,0,1,3,3,6,1,1,3,2,2,3,10,0.361988559,0.498204229
2291,1,1,0,5,31,3,9,1,1,1,0,3,1,1,Control,1,3,5,1,3,0,1,0,1,3,3,6,1,1,1,1,1,1,4,0.113067828,0.249283498
